Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict?cb_nonce=110587,1,1,4768.143200082704,4768.143200082704,4768.143200082704,4768.143200082704,0.0,0.0008323746104118736,0.0008323746104118736,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/predict?cb_nonce=110687,1,0,1335.8254000777379,1335.8254000777379,1335.8254000777379,1335.8254000777379,39.0,0.0008323746104118736,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/predict?cb_nonce=110947,1,0,2600.2201000228524,2600.2201000228524,2600.2201000228524,2600.2201000228524,39.0,0.0008323746104118736,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/predict?cb_nonce=111064,1,0,1455.8221000479534,1455.8221000479534,1455.8221000479534,1455.8221000479534,39.0,0.0008323746104118736,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/predict?cb_nonce=111120,1,0,1655.876100063324,1655.876100063324,1655.876100063324,1655.876100063324,39.0,0.0008323746104118736,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/predict?cb_nonce=11186,1,0,2348.5797999892384,2348.5797999892384,2348.5797999892384,2348.5797999892384,39.0,0.0008323746104118736,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/predict?cb_nonce=111861,1,1,4083.1404000055045,4083.1404000055045,4083.1404000055045,4083.1404000055045,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=111894,1,0,2103.2604000065476,2103.2604000065476,2103.2604000065476,2103.2604000065476,39.0,0.0008323746104118736,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/predict?cb_nonce=112031,1,0,17845.647000009194,17845.647000009194,17845.647000009194,17845.647000009194,39.0,0.0008323746104118736,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
GET,/predict?cb_nonce=112654,1,0,1405.88310000021,1405.88310000021,1405.88310000021,1405.88310000021,39.0,0.0008323746104118736,0.0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/predict?cb_nonce=112689,1,0,18509.026699932292,18509.026699932292,18509.026699932292,18509.026699932292,39.0,0.0008323746104118736,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,/predict?cb_nonce=113403,1,0,2451.9552000565454,2451.9552000565454,2451.9552000565454,2451.9552000565454,39.0,0.0008323746104118736,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/predict?cb_nonce=113959,1,1,4871.334700030275,4871.334700030275,4871.334700030275,4871.334700030275,0.0,0.0008323746104118736,0.0008323746104118736,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/predict?cb_nonce=114544,1,0,2582.090900046751,2582.090900046751,2582.090900046751,2582.090900046751,39.0,0.0008323746104118736,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/predict?cb_nonce=114735,1,0,2654.2254000669345,2654.2254000669345,2654.2254000669345,2654.2254000669345,39.0,0.0008323746104118736,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/predict?cb_nonce=115455,1,0,1568.1924000382423,1568.1924000382423,1568.1924000382423,1568.1924000382423,39.0,0.0008323746104118736,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/predict?cb_nonce=115642,1,1,4232.078400091268,4232.078400091268,4232.078400091268,4232.078400091268,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=115691,1,1,4074.372399947606,4074.372399947606,4074.372399947606,4074.372399947606,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=117093,1,1,4056.721300003119,4056.721300003119,4056.721300003119,4056.721300003119,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=117149,1,0,2244.522999972105,2244.522999972105,2244.522999972105,2244.522999972105,39.0,0.0008323746104118736,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/predict?cb_nonce=117340,1,0,894.2235000431538,894.2235000431538,894.2235000431538,894.2235000431538,39.0,0.0008323746104118736,0.0,890,890,890,890,890,890,890,890,890,890,890
GET,/predict?cb_nonce=117668,1,0,1216.7565999552608,1216.7565999552608,1216.7565999552608,1216.7565999552608,39.0,0.0008323746104118736,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
